Population,Line,Replicate,Treatment,Pot.ID,ImageJ_FruitCount,ImageJ_Counter,"bolting stalk (bent, broken, leaning, straight(",num lateral branches from main stalk,num primary stalks from rosette (main included),height main stalk (cm),total fruit num,num fruits collected,fruit collected location,done flowering,number flowers left,Notes,All Fruit Collected Weight (mg),seeds only weight,scanner position,scanned photo name,ImageJ_seed count,SeedCounter,BasiaFruitCount,Notes2
BELM,8,1,Current/Future,B8-1-CF,208,TM,straight,6,12,15.5,200,9,"10,11,12,13,16,19,22,2 from sides",y,0,6 primary stalks noted as tiny; siliques moldy,16.09,10.55,9,9,425,SB,NA,
BELM,8,2,Current/Future,B8-2-CF,144,TM,straight,9,5,17,177,9,"5,7,10,11,12,,14,16,18,20",n,1,some branches are bent; 1 primary stalk noted as tiny,14.61,9.55,4,10,418,SB,NA,old count (no initials) was 362
BELM,12,1,Current/Future,B12-1-CF,96,TM,bent,6,10,25.5,122,10,"7,9,12,15,17,19,21,22,23,? In 10-15 range",y,0,7 primary stalks noted as tiny; has black seeds,19.11,12.35,10,5,418,CC,NA,
BELM,13,2,Current/Future,B13-2-CF,259,TM,bent,8,2,42,260,9,"11,13,15,17,19,29,45,2 on sides",n,-,1 primary stalk was noted as tiny; siliques modly,14.71,9.99,12,9,410,SB,NA,overestimate with all the dark/flat seeds: 427
BELM,15,1,Current/Future,B15-1-CF,224,TM,bent,8,7,25,238,8,mostly all from sides. Not counted,y,0,4 primary stalks noted as tiny; 1 not counted was noted as no flower; siliques moldy,12.27,8.33,10,10,269,SB,NA,
BELM,15,2,Current/Future,B15-2-CF,231,TM,bent,10,4,17,257,9,"13,14,15,19,21,20,2 on sides",y,0,,14.8,10.07,10,9,348,SB,NA,
RODA,2,1,Current/Future,R2-1-CF,251,CC,leaning,7,5,21.5,398,10,"2,4,6,7,9,11,13,15,17,19",y,0,3 primary stalks noted as tiny; 1 noted as no flwr was not counted,19.76,11.8,6,1,341,,NA,
RODA,2,2,Current/Future,R2-2-CF,105,TM,leaning,9,1,32.5,120,10,"2,4,6,8,10,12,14,16,18,20,22",y,0,,19.16,12.06,4,6,491,CH,NA,
RODA,5,1,Current/Future,R5-1-CF,67,TX,straight,6,6,29.5,101,10,"3,5,7,9,11,13,15,17,19,21",n,3,2 came off pedicel with number 17; 2 additional branches with no flowers; 5 primary stalks noted as tiny,19.08,12.02,3,7,408,CC,NA,
RODA,8,1,Current/Future,R8-1-CF,68,TM,straight,8,1,26.5,90,10,"3,5,8,10,12,14,16,18,20,22",y,0,,18.13,11.58,3,6,699,CH,NA,
RODA,8,2,Current/Future,R8-2-CF,58,TX,,8,3,24.5,114,10,"2,4,6,8,10,12,15,17,19,22",n,25,; 2 additional branches with no flowers; 2 primary stalks noted as tiny,21.29,13.26,3,9,446,SB,NA,
RODA,9,1,Current/Future,R9-1-CF,73,TX,bent,8,9,30.5,88,10,"2,4,6,8,10,12,14,16,18,20",n,10,8 primary stalks noted as tiny,20.32,13.24,4,2,512,SB,NA,
RODA,9,2,Current/Future,R9-2-CF,69,TX,bent,8,7,29.5,95,10,"1,3,4,6,8,10,12,14,16,19",n,6,6 primary stalks noted as tiny,19.95,12.53,7,1,442,,NA,
RODA,11,1,Current/Future,R11-1-CF,102,TM,straight,9,1,25,138,10,"6,8,10,12,4,14,16,18,20,22",y,0,one additional primary stalk noted as no flwr; 1 additional branch with no flowers,18.71,11.8,4,4,484,,NA,KB assumed
RODA,11,2,Current/Future,R11-2-CF,101,TM,leaning,9,1,29.5,130,10,"7,9,11,13,15,18,20,22,24,26",y,0,,20.01,12.85,3,8,515,EA,NA,
RODA,15,1,Current/Future,R15-1-CF,103,CC,straight,7,9,2,124,10,all small from multiple branches,y,0,"main stalk is not the tallest stalk because it didn't really grow. Main stalk is 2cm, longest stalk is 10.5 cm. Going to use an 2 because that is the main stalk but should be removed as an outlier; 4 primary stalks noted as tiny",5.74,1.01,8,1,277,,NA,
RODA,15,2,Current/Future,R15-2-CF,124,TX,straight,9,9,28.5,146,10,"4,6,8,10,12,14,16,18,20,22",y,0,8 primary stalks noted as tiny; 1 additional branch with no flowers,18.36,10.8,3,2,353,SB,NA,
RODA,21,1,Current/Future,R21-1-CF,32,TX,straight,7,8,23.5,83,10,"2,4,6,8,10,12,14,16,25,26",n,23,7 primary stalks noted as tiny; 2 additional branches with no flowers,19.75,12.08,4,3,389,CH,NA,
RODA,21,2,Current/Future,R21-2-CF,75,TX,straight,7,5,34,115,10,"3,5,7,9,11,13,15,17,19,22",n,7,4 primary stalks noted as tiny; 3 additional branches with no flowers,22.07,14.64,5,4,566,,NA,KB assumed
RODA,26,1,Current/Future,R26-1-CF,70,TX,leaning,8,9,30.5,99,10,"3,5,7,9,11,13,15,17,19,21",y,0,8 primary stalks noted as tiny,22.62,14.76,6,4,406,,NA,KB assumed
RODA,26,2,Current/Future,R26-2-CF,171,,bent,9,5,24.5,183,10,"1,3,5,7,9,11,12,13,15,18",y,0,and leaning; 1 additional branch with no flowers; 3 primary stalks noted as tiny,20.73,12.68,7,4,461,,NA,KB assumed
